part_number_seed,program_name_seed,domain_seed
822-2062-001+TL,NULL,RETIRED
822-2062-101+TL,NULL,RETIRED
822-3239-001+TL,NULL,RETIRED
822-3078-002+TL,ASR,Airborne
944-3773-102,NULL,RETIRED
822-3527-002+TL,DIGAR,Airborne
987-2618-021+TL,MPE-M-021+TL,Ground
987-2618-121+TL,MPE-M-121+TL,Ground
987-2618-221+TL,MPE-M-221+TL,Ground
987-2618-321+TL,MPE-M-321+TL,Ground
822-3697-001+TL,SAJE,Ground
987-9705-001+TL,MPE-S,Ground
987-9705-012+TL,MicroGram,Ground
987-9658-001+TL,MicroGram-M,Ground
822-3262-002+TL,NULL,RETIRED
822-1873-003+TL,DAGR,Ground
987-8760-002+TL,Polaris Link,Ground
822-2904-111+TL,RETIRED NavFire-111+TL,RETIRED
822-2904-211+TL,RETIRED NavFire-211+TL,RETIRED
983-9834-111,NavFire-111,Weapons
983-9834-212,NavFire-212,Weapons
822-2347-204+TL,RETIRED NavStorm-204,RETIRED
822-2347-404+TL,RETIRED NavStorm-404/424,RETIRED
822-2347-424+TL,RETIRED NavStorm-504,RETIRED
987-7173-882,NavStorm-882,Weapons
987-7173-884,NavStorm-884,Weapons
987-7173-885,NavStorm-885,Weapons
822-2347-504+TL,NULL,RETIRED
822-1600-137+TL,NavStrike-137+TL,Weapons
822-3396-002+TL,NavStrike-M-002+TL,Weapons
822-3198-003+TL,RETIRED SABR-003+TL,RETIRED
822-3198-013+TL,RETIRED SABR-013+TL,RETIRED
987-2434-300,SABR,Weapons
822-3592-002+TL,RETIRED SABR-M-002+TL,RETIRED
822-3592-001+TL,RETIRED SABR-M-001+TL,RETIRED
987-3594-100,SABR-M-100,Weapons
987-3594-110,SABR-M-110 DLA,Weapons
987-3594-200,SABR-M-200,Weapons
987-3594-210,SABR-M-210 DLA,Weapons
822-2093-104+TL,RETIRED IGAS,RETIRED
987-2094-004,IGAS,Weapons
822-3255-001+TL,ASM,Weapons
822-3267-601, GEM VII-601, Airborne
822-3267-602, GEM VII-602, Airborne
822-3527-012+TL, DIGAR CARC, Airborne
822-1600-138+TL, NavStrike-138+TL, Weapons

